creditlimit,sex,education,marriage,age,default
180000,female,graduate school,single,25,0
130000,female,university,married,34,0
230000,female,university,married,43,0
50000,male,high school,married,54,0
310000,female,university,married,39,0
350000,male,graduate school,married,70,0
480000,male,high school,single,53,0
200000,female,university,single,33,0
50000,male,university,single,48,0
20000,female,university,single,24,0
50000,female,university,single,25,0
420000,male,university,married,39,0
90000,female,graduate school,single,27,0
90000,female,university,married,25,0
120000,male,graduate school,single,27,0
20000,male,university,single,25,0
230000,female,graduate school,single,29,0
50000,male,high school,married,44,0
110000,female,high school,single,28,0
120000,female,high school,married,30,0
50000,male,high school,single,34,0
150000,male,graduate school,single,32,0
50000,female,university,single,23,0
110000,female,university,married,33,0
170000,male,university,married,48,0
230000,female,university,married,29,0
20000,female,high school,other,47,0
50000,male,graduate school,single,37,0
240000,female,high school,married,38,0
50000,female,university,married,48,0
140000,male,university,single,44,0
30000,female,high school,married,56,0
300000,female,graduate school,married,30,0
50000,male,graduate school,single,29,0
280000,female,university,married,37,0
120000,female,university,single,23,0
110000,female,university,married,40,0
50000,male,graduate school,single,24,0
230000,female,university,single,25,0
50000,male,high school,single,36,0
240000,female,university,married,42,0
20000,male,high school,other,47,0
50000,female,high school,single,40,0
50000,female,university,married,32,0
100000,male,high school,single,52,0
550000,male,graduate school,single,31,0
50000,female,high school,married,48,0
180000,male,university,married,44,0
110000,female,graduate school,single,29,0
50000,male,graduate school,single,33,0
100000,female,high school,single,53,0
100000,female,university,single,26,0
210000,female,university,married,43,0
30000,female,university,single,23,0
190000,female,high school,married,38,0
360000,male,university,married,44,0
190000,female,university,single,25,0
90000,female,university,single,33,0
240000,male,graduate school,single,29,0
40000,female,graduate school,single,26,0
180000,male,graduate school,single,37,0
150000,female,high school,married,48,0
50000,female,university,married,47,0
50000,male,high school,single,31,0
200000,male,graduate school,single,34,0
250000,female,graduate school,single,32,0
170000,female,university,married,50,0
80000,male,high school,single,29,0
50000,male,university,married,49,0
20000,male,university,single,44,0
50000,male,university,married,48,0
220000,male,university,married,44,0
50000,male,graduate school,married,40,0
50000,male,university,single,30,0
150000,female,graduate school,single,29,0
50000,male,graduate school,single,28,0
20000,female,high school,single,22,0
30000,male,university,married,31,0
20000,male,high school,single,40,0
50000,male,university,married,51,0
50000,female,university,other,51,0
50000,male,university,single,49,0
290000,female,graduate school,married,50,0
50000,female,university,single,24,0
150000,female,university,single,29,0
50000,male,graduate school,single,24,0
120000,female,university,single,30,0
180000,female,university,married,28,0
20000,male,graduate school,single,22,0
20000,male,university,single,23,0
190000,female,university,single,53,0
80000,female,university,single,25,0
50000,female,high school,married,51,0
70000,female,graduate school,married,40,0
150000,female,graduate school,single,30,0
60000,female,graduate school,single,24,0
20000,male,high school,single,32,0
310000,female,university,married,29,0
100000,female,graduate school,single,30,0
390000,female,graduate school,married,38,0
50000,female,university,married,26,0
140000,male,graduate school,single,29,0
250000,female,graduate school,single,36,0
90000,male,graduate school,single,27,0
160000,female,graduate school,single,27,0
360000,male,university,single,29,0
330000,female,graduate school,single,26,0
10000,female,high school,single,42,0
250000,female,university,single,33,0
130000,female,high school,married,33,0
130000,male,graduate school,single,27,0
130000,male,university,single,37,0
380000,male,graduate school,single,41,0
20000,female,university,single,23,0
20000,male,university,single,25,0
140000,male,graduate school,married,54,0
50000,female,graduate school,single,22,0
250000,female,university,married,31,0
120000,female,graduate school,single,27,0
260000,female,university,married,40,0
60000,female,university,married,29,0
50000,male,university,single,27,0
130000,male,high school,married,34,0
130000,male,graduate school,single,34,0
80000,female,university,married,36,0
200000,male,graduate school,married,53,0
20000,male,university,single,27,0
30000,female,graduate school,single,27,0
70000,female,university,single,26,0
50000,female,high school,married,56,0
180000,female,high school,married,26,0
40000,male,high school,married,43,0
50000,male,university,single,26,0
80000,male,high school,married,48,0
30000,female,high school,married,48,0
160000,male,university,married,28,0
400000,male,university,married,34,0
40000,female,university,married,25,0
50000,female,graduate school,single,25,0
110000,male,university,single,26,0
200000,female,graduate school,single,26,0
390000,female,graduate school,single,33,0
280000,male,university,married,33,0
230000,female,graduate school,single,27,0
130000,male,high school,single,28,0
100000,female,university,married,58,0
150000,female,university,single,27,0
140000,male,university,single,35,0
50000,male,university,single,53,0
100000,male,university,single,39,0
150000,female,university,single,37,0
80000,male,graduate school,single,23,0
180000,female,graduate school,single,41,0
110000,female,graduate school,single,29,0
50000,female,high school,married,61,0
200000,female,high school,single,30,0
360000,female,university,single,30,0
260000,female,university,married,35,0
50000,male,high school,married,32,0
20000,male,high school,married,38,0
460000,male,graduate school,single,32,0
60000,male,high school,single,24,0
20000,female,graduate school,single,22,0
290000,female,university,married,40,0
110000,female,university,single,36,0
70000,female,university,married,31,0
80000,female,university,single,40,0
50000,male,university,other,53,0
310000,female,graduate school,single,30,0
150000,female,graduate school,single,33,0
150000,male,high school,single,45,0
280000,male,university,single,30,0
230000,male,university,single,32,0
50000,male,graduate school,married,39,0
500000,male,graduate school,married,46,0
50000,female,university,single,24,0
50000,female,university,single,23,0
50000,male,university,married,46,0
100000,female,university,married,31,0
50000,female,graduate school,single,26,0
130000,female,high school,single,32,0
30000,female,university,single,22,0
50000,male,university,married,38,0
310000,male,university,married,29,0
90000,female,high school,married,40,0
90000,male,graduate school,single,25,0
80000,female,high school,single,65,0
210000,male,graduate school,single,31,0
170000,female,university,married,41,0
50000,female,graduate school,single,26,0
130000,female,graduate school,married,38,0
160000,male,graduate school,married,41,0
250000,male,university,single,31,0
500000,female,university,married,42,0
260000,male,university,single,32,0
30000,female,university,single,22,0
310000,female,graduate school,single,32,0
580000,male,university,married,37,0
340000,female,graduate school,married,36,0
80000,female,graduate school,single,29,0
100000,male,university,married,42,0
450000,male,university,single,37,0
240000,female,graduate school,single,29,0
110000,female,university,single,28,0
240000,female,university,single,26,0
220000,female,university,single,35,0
20000,male,university,married,33,0
20000,male,university,single,33,0
360000,female,graduate school,single,30,0
220000,male,graduate school,single,28,0
470000,female,university,single,26,0
70000,female,university,single,22,0
120000,female,graduate school,single,26,0
50000,male,university,single,35,0
470000,male,university,married,49,0
130000,male,university,married,49,0
460000,female,university,single,35,0
360000,female,university,single,27,0
290000,male,graduate school,married,40,0
90000,male,graduate school,married,30,0
120000,male,graduate school,married,45,0
220000,male,university,single,30,0
320000,female,university,single,31,0
320000,male,graduate school,married,33,0
90000,male,university,single,39,0
180000,male,graduate school,married,50,0
90000,female,graduate school,single,28,0
100000,male,graduate school,married,36,0
340000,male,university,married,41,0
50000,male,graduate school,single,22,0
100000,female,university,single,37,0
70000,female,high school,married,57,0
140000,female,university,married,25,0
20000,male,university,single,32,0
50000,female,university,single,26,0
170000,female,high school,married,37,0
200000,male,graduate school,married,42,0
200000,male,university,married,41,0
100000,female,graduate school,single,27,0
180000,male,university,single,31,0
500000,female,graduate school,married,35,0
230000,male,university,married,29,0
230000,female,university,single,24,0
50000,male,university,single,35,0
50000,male,university,single,42,0
180000,male,high school,single,28,0
20000,male,high school,single,52,0
60000,female,graduate school,single,24,0
40000,female,high school,married,59,0
140000,female,university,married,34,0
220000,male,university,married,32,0
10000,male,university,single,22,0
20000,male,graduate school,married,52,0
320000,female,university,single,35,0
50000,male,university,married,40,0
40000,female,university,single,26,0
150000,male,graduate school,married,51,0
200000,male,university,married,42,0
80000,female,high school,married,35,0
230000,female,university,married,38,0
190000,female,university,single,31,0
140000,male,university,single,41,0
80000,male,university,single,30,0
360000,male,graduate school,single,32,0
70000,male,university,single,31,0
500000,female,graduate school,married,39,0
500000,female,graduate school,married,34,0
120000,female,university,married,39,0
250000,female,graduate school,single,32,0
180000,female,university,married,39,0
200000,female,high school,married,53,0
50000,female,university,single,28,0
130000,male,university,single,32,0
120000,female,graduate school,single,25,0
210000,female,university,married,40,0
50000,male,university,married,55,0
50000,female,high school,married,51,0
320000,male,graduate school,single,40,0
80000,female,university,married,30,0
140000,male,graduate school,single,55,0
180000,male,university,married,26,0
80000,male,graduate school,single,33,0
30000,male,high school,married,50,0
120000,female,university,single,29,0
50000,male,university,single,40,0
260000,male,graduate school,single,37,0
70000,female,graduate school,single,24,0
210000,female,high school,married,39,0
80000,female,university,married,39,0
20000,male,high school,single,23,0
150000,female,university,married,36,0
130000,female,university,married,47,0
260000,female,university,married,34,0
180000,male,graduate school,single,30,0
250000,male,graduate school,married,71,0
50000,male,high school,single,28,0
60000,female,university,single,22,0
130000,male,university,single,31,0
50000,female,university,married,43,0
50000,male,university,single,33,0
80000,female,university,married,44,0
20000,female,high school,single,39,0
360000,male,university,single,42,0
220000,female,graduate school,single,27,0
50000,female,high school,single,52,0
50000,male,university,single,42,0
90000,female,graduate school,single,27,0
250000,male,university,single,27,0
300000,female,university,married,36,0
170000,male,other,married,28,0
50000,male,university,single,26,0
100000,male,university,single,30,0
70000,male,university,single,51,0
150000,male,graduate school,single,25,0
50000,female,university,single,25,0
290000,female,graduate school,single,25,0
310000,female,university,single,42,0
80000,female,university,married,38,0
230000,female,university,married,62,0
360000,male,graduate school,married,52,0
20000,male,graduate school,single,30,0
200000,female,graduate school,single,29,0
230000,male,graduate school,married,34,0
50000,male,university,married,53,0
440000,female,university,single,29,0
320000,male,university,single,35,0
120000,female,high school,single,55,0
310000,male,graduate school,single,37,0
110000,female,high school,single,31,0
400000,male,university,single,31,0
50000,male,graduate school,married,42,0
270000,male,university,married,27,0
30000,female,high school,married,39,0
30000,male,graduate school,married,57,0
20000,male,university,single,24,0
50000,female,university,single,22,0
100000,male,university,married,50,0
500000,male,graduate school,married,38,0
190000,male,university,married,43,0
50000,male,university,single,23,0
10000,male,high school,single,22,0
1000000,female,graduate school,married,47,0
20000,male,university,married,37,0
360000,male,high school,married,53,0
60000,male,graduate school,single,30,0
30000,male,university,married,33,0
140000,female,university,married,37,0
20000,female,graduate school,single,21,0
120000,female,university,single,32,0
50000,female,university,married,41,0
500000,male,graduate school,single,30,0
10000,male,university,single,21,0
210000,male,university,single,25,0
50000,male,high school,single,41,0
110000,male,university,single,24,0
600000,male,high school,married,38,0
310000,male,graduate school,married,43,0
60000,female,university,single,29,0
120000,female,high school,married,50,0
140000,female,university,married,26,0
50000,male,university,single,24,0
180000,female,graduate school,married,35,0
300000,female,graduate school,single,35,0
140000,male,graduate school,single,32,0
550000,female,university,married,32,0
170000,female,university,single,30,0
140000,female,university,married,35,0
10000,male,high school,single,48,0
200000,female,university,single,36,0
140000,female,university,single,33,0
80000,female,university,single,37,0
100000,male,high school,single,30,0
80000,female,university,single,25,0
350000,female,graduate school,single,27,0
50000,female,university,single,26,0
360000,male,university,married,39,0
230000,female,university,married,33,0
70000,female,university,single,24,0
50000,male,university,single,29,0
20000,female,university,single,41,0
500000,male,high school,married,56,0
90000,female,high school,married,49,0
70000,female,graduate school,single,29,0
50000,female,high school,married,49,0
230000,female,university,single,33,0
30000,male,high school,single,39,0
300000,female,high school,single,38,0
80000,female,university,single,33,0
60000,female,graduate school,married,29,0
80000,male,university,married,26,0
30000,female,university,married,26,0
30000,male,university,single,25,0
150000,male,university,married,40,0
180000,male,university,single,26,0
240000,female,graduate school,single,28,0
120000,female,university,single,31,0
150000,female,high school,married,43,0
50000,male,university,married,46,0
50000,female,graduate school,single,53,0
90000,male,university,single,30,0
50000,male,high school,single,52,0
80000,female,university,single,40,0
50000,female,university,single,41,0
90000,female,university,married,36,0
240000,male,graduate school,single,28,0
140000,female,university,single,26,0
50000,female,graduate school,married,29,0
50000,female,university,married,28,0
240000,male,university,married,36,0
290000,male,university,married,50,0
80000,male,other,married,29,0
400000,male,university,married,34,0
20000,male,high school,other,46,0
260000,female,university,single,25,0
130000,male,university,single,27,0
490000,male,graduate school,married,41,0
580000,male,graduate school,married,42,0
20000,male,university,married,34,0
180000,female,graduate school,single,32,0
90000,male,university,single,25,0
280000,female,university,married,52,0
230000,male,graduate school,single,29,0
300000,male,university,single,35,0
80000,female,university,single,26,0
210000,female,university,married,44,0
400000,male,graduate school,married,66,0
460000,female,university,married,33,0
210000,male,university,single,28,0
50000,female,high school,married,39,0
230000,male,university,married,35,0
60000,male,university,single,30,0
500000,female,graduate school,married,41,0
110000,female,university,single,28,0
400000,male,graduate school,married,44,0
60000,male,university,married,35,0
100000,male,high school,married,47,0
230000,female,university,single,42,0
110000,female,university,married,43,0
20000,female,high school,single,49,0
110000,female,high school,married,27,0
200000,male,university,married,29,0
50000,female,university,married,47,0
130000,male,graduate school,single,29,0
260000,male,university,single,28,0
210000,female,high school,married,40,0
160000,female,university,married,42,0
20000,female,graduate school,single,25,0
30000,female,university,single,24,0
20000,male,university,single,33,0
300000,female,graduate school,married,51,0
80000,female,high school,married,39,0
20000,female,university,married,47,0
60000,male,graduate school,single,29,0
20000,male,university,single,22,0
80000,male,graduate school,married,47,0
240000,male,high school,married,55,0
50000,male,university,married,54,0
80000,female,university,single,44,0
130000,female,university,married,29,0
30000,female,high school,married,44,0
340000,male,high school,married,40,0
60000,female,graduate school,single,23,0
460000,male,graduate school,married,35,0
500000,male,graduate school,married,51,0
280000,female,graduate school,single,26,0
80000,female,graduate school,single,25,0
220000,male,graduate school,single,31,0
170000,female,university,single,26,0
100000,female,high school,married,38,0
50000,female,high school,married,47,0
30000,female,high school,single,25,0
50000,male,high school,married,53,0
80000,male,university,single,27,0
140000,female,university,married,28,0
260000,male,university,married,28,0
10000,male,university,single,23,0
200000,male,graduate school,single,30,0
290000,female,university,married,32,0
50000,male,high school,married,36,0
340000,female,graduate school,single,26,0
330000,male,graduate school,married,34,0
220000,female,graduate school,single,28,0
100000,female,university,single,30,0
110000,female,high school,single,41,0
20000,male,university,single,48,0
60000,male,graduate school,single,25,0
50000,female,university,married,33,0
100000,female,university,single,24,0
150000,female,university,married,47,0
50000,male,high school,single,28,0
60000,male,university,single,29,0
70000,female,university,single,30,0
50000,female,university,single,25,0
10000,male,university,single,22,0
70000,female,university,single,23,0
20000,male,high school,married,46,0
260000,female,university,married,36,0
250000,female,graduate school,married,42,0
100000,male,graduate school,single,28,0
20000,male,university,single,25,0
40000,male,graduate school,single,24,0
20000,male,high school,single,26,0
140000,male,university,single,32,0
30000,female,university,single,26,0
80000,male,university,single,28,0
20000,female,high school,married,31,0
210000,female,graduate school,single,26,0
150000,female,graduate school,married,30,0
50000,male,university,single,39,0
80000,female,graduate school,single,28,0
210000,male,graduate school,single,29,0
20000,female,university,married,32,0
250000,female,graduate school,single,30,0
10000,male,university,single,54,0
60000,female,high school,married,59,0
180000,female,graduate school,single,38,0
160000,female,university,married,28,0
180000,male,graduate school,married,48,0
60000,female,high school,married,42,0
80000,male,university,married,27,0
360000,female,university,single,31,0
110000,female,high school,married,46,0
100000,male,university,single,25,0
60000,male,high school,single,34,0
50000,female,graduate school,married,42,0
20000,male,high school,single,41,0
90000,female,university,single,24,0
250000,male,high school,married,62,0
340000,male,graduate school,single,30,0
50000,male,university,married,47,0
20000,female,university,married,26,0
550000,male,university,married,47,0
340000,female,university,single,39,0
10000,male,university,single,32,0
450000,female,graduate school,married,37,0
380000,male,high school,married,44,0
80000,female,graduate school,single,27,0
50000,female,university,single,44,0
100000,female,university,single,24,0
100000,male,university,single,38,0
500000,male,graduate school,married,45,0
30000,female,high school,married,58,0
50000,male,university,single,46,0
240000,male,graduate school,single,32,0
80000,female,high school,married,55,0
330000,male,graduate school,single,45,0
100000,male,high school,married,40,0
140000,female,graduate school,married,33,0
50000,male,university,single,25,0
50000,male,university,single,41,0
140000,male,university,married,37,0
150000,female,graduate school,single,37,0
170000,female,graduate school,single,26,0
50000,female,high school,single,23,0
100000,male,graduate school,single,27,0
40000,female,university,married,25,0
320000,female,university,married,53,0
180000,male,university,married,46,0
50000,female,university,single,36,0
50000,female,university,single,22,0
150000,female,graduate school,single,32,0
30000,male,university,single,34,0
30000,female,university,single,41,0
470000,male,university,single,29,0
80000,female,high school,married,40,0
120000,male,graduate school,married,51,0
200000,female,university,single,43,0
20000,male,university,single,40,0
170000,female,high school,married,36,0
100000,male,high school,married,44,0
360000,male,university,single,48,0
290000,female,graduate school,single,30,0
50000,male,university,married,47,0
250000,female,university,married,35,0
100000,female,university,married,22,0
30000,female,high school,single,26,0
150000,female,high school,single,47,0
10000,male,high school,single,23,0
50000,female,high school,single,47,0
50000,female,graduate school,single,22,0
50000,female,high school,single,22,0
180000,female,university,single,25,0
60000,female,university,single,24,0
200000,male,graduate school,single,26,0
30000,female,high school,single,23,0
320000,female,university,single,36,0
60000,female,graduate school,married,39,0
70000,female,graduate school,single,24,0
100000,female,graduate school,single,33,0
20000,female,high school,married,51,0
200000,female,university,married,39,0
200000,male,university,single,27,0
30000,male,high school,married,42,0
140000,female,graduate school,single,25,0
140000,female,graduate school,married,37,0
50000,female,university,married,28,0
70000,female,university,married,28,0
90000,male,university,single,28,0
200000,female,graduate school,single,27,0
240000,male,high school,married,55,0
310000,female,high school,single,28,0
290000,female,university,married,38,0
260000,male,university,married,43,0
30000,female,high school,married,36,0
30000,female,university,single,22,0
20000,male,graduate school,single,22,0
240000,female,university,single,25,0
70000,male,university,single,38,0
160000,female,university,married,35,0
180000,female,graduate school,single,30,0
190000,male,university,married,39,0
20000,female,university,married,22,0
150000,male,graduate school,single,27,0
310000,male,university,married,35,0
180000,female,university,married,36,0
80000,female,university,single,24,0
350000,female,university,married,41,0
50000,female,university,married,47,0
220000,male,university,married,35,0
400000,female,university,married,30,0
180000,female,university,single,26,0
30000,female,graduate school,single,24,0
360000,female,graduate school,single,33,0
50000,female,university,married,49,0
20000,male,high school,married,31,0
50000,female,university,married,50,0
20000,male,graduate school,single,33,0
200000,female,high school,married,41,0
220000,male,university,married,38,0
100000,male,university,single,43,0
20000,male,high school,other,46,0
50000,male,university,married,46,0
50000,male,graduate school,single,28,0
30000,male,university,single,38,0
500000,male,graduate school,married,46,0
420000,male,graduate school,married,44,0
20000,female,university,married,45,0
50000,female,university,single,24,0
260000,female,university,single,30,0
50000,male,university,single,27,0
50000,female,university,single,49,0
100000,male,university,married,49,0
180000,female,graduate school,single,27,0
270000,female,graduate school,married,45,0
80000,female,university,single,24,0
220000,male,university,married,32,0
50000,male,graduate school,single,30,0
50000,female,high school,single,60,0
240000,female,university,other,39,0
130000,female,graduate school,single,26,0
160000,female,graduate school,single,34,0
210000,female,graduate school,single,31,0
330000,male,graduate school,single,47,0
110000,female,university,married,51,0
210000,female,university,single,34,0
350000,female,graduate school,single,31,0
180000,female,university,single,25,0
150000,female,graduate school,single,28,0
390000,female,university,married,24,0
320000,male,university,married,39,0
20000,male,university,single,34,0
200000,female,university,married,41,0
50000,male,university,single,28,0
50000,male,university,married,37,0
70000,male,graduate school,married,42,0
80000,female,graduate school,single,26,0
50000,male,high school,single,41,0
50000,female,graduate school,single,25,0
170000,female,university,married,42,0
470000,female,university,single,33,0
20000,male,university,single,25,0
160000,female,university,single,23,0
150000,female,graduate school,single,26,0
230000,female,high school,married,37,0
50000,female,university,married,48,0
50000,male,high school,single,46,0
150000,female,university,married,36,0
450000,male,university,single,37,0
110000,male,high school,married,40,0
320000,male,graduate school,single,36,0
20000,male,graduate school,single,37,0
20000,male,graduate school,married,29,0
30000,female,university,single,33,0
110000,male,university,married,49,0
500000,female,graduate school,single,38,0
500000,male,university,married,38,0
220000,male,graduate school,single,25,0
50000,male,university,single,40,0
120000,female,university,single,23,0
200000,female,university,married,48,0
50000,male,high school,married,53,0
130000,male,high school,married,48,0
50000,female,university,single,23,0
130000,male,university,single,26,0
50000,female,university,single,42,0
50000,male,graduate school,single,27,0
80000,female,university,single,28,0
60000,female,university,single,25,0
390000,female,graduate school,single,30,0
110000,female,university,married,28,0
100000,male,university,single,29,0
70000,female,high school,married,33,0
390000,male,graduate school,single,31,0
50000,male,university,married,22,0
290000,female,university,single,30,0
20000,male,university,single,24,0
90000,female,graduate school,single,28,0
260000,male,high school,single,48,0
90000,female,university,single,26,0
150000,female,graduate school,single,31,0
60000,female,university,married,46,0
50000,male,university,single,24,0
250000,female,graduate school,single,37,0
50000,female,graduate school,single,22,0
120000,female,high school,single,32,0
50000,female,graduate school,married,35,0
170000,female,university,married,33,0
50000,male,high school,married,46,0
170000,female,university,single,38,0
400000,female,high school,married,37,0
50000,female,graduate school,single,30,0
110000,male,high school,single,32,0
300000,male,graduate school,single,25,0
50000,male,graduate school,single,27,0
180000,female,university,single,43,0
120000,male,university,single,27,0
60000,male,university,married,56,0
130000,male,university,married,40,0
50000,female,high school,married,36,0
150000,female,high school,married,43,0
50000,female,university,married,38,0
50000,female,university,other,52,0
230000,male,high school,single,28,0
270000,female,graduate school,single,27,0
160000,male,graduate school,married,44,0
20000,male,university,single,25,0
210000,female,university,single,32,0
250000,female,university,married,50,0
50000,male,university,single,28,0
20000,male,graduate school,single,22,0
30000,male,high school,single,36,0
180000,female,graduate school,single,30,0
20000,female,university,single,25,0
100000,female,high school,married,36,0
350000,male,graduate school,married,31,0
80000,female,university,married,32,0
120000,female,high school,married,49,0
20000,male,university,single,22,0
300000,male,graduate school,single,36,0
170000,male,graduate school,single,39,0
50000,male,university,single,29,0
480000,female,graduate school,married,38,0
160000,male,university,single,26,0
30000,male,university,single,47,0
180000,male,graduate school,single,26,0
150000,female,high school,married,45,0
70000,male,graduate school,single,27,0
150000,male,university,single,26,0
430000,female,university,married,42,0
160000,female,university,married,23,0
180000,female,graduate school,single,28,0
50000,male,high school,single,22,0
240000,male,university,married,48,0
180000,female,graduate school,single,29,0
50000,female,high school,married,32,0
280000,female,university,married,36,0
70000,female,graduate school,single,29,0
80000,male,high school,single,33,0
50000,male,university,married,33,0
320000,female,university,married,41,0
60000,male,university,single,27,0
50000,male,graduate school,single,34,0
50000,female,high school,married,50,0
500000,male,graduate school,married,32,0
400000,female,high school,married,41,0
360000,female,university,single,41,0
330000,male,graduate school,married,42,0
440000,female,graduate school,married,35,0
260000,male,university,single,28,0
500000,male,high school,married,48,0
100000,male,university,married,35,0
70000,male,high school,married,47,0
440000,male,graduate school,single,43,0
30000,female,university,single,25,0
110000,female,graduate school,single,27,0
60000,female,university,married,43,0
110000,male,university,married,36,0
260000,male,high school,married,44,0
280000,female,graduate school,single,32,0
80000,female,university,married,37,0
200000,female,graduate school,single,37,0
180000,male,graduate school,single,29,0
240000,female,university,single,34,0
80000,male,university,married,54,0
210000,female,university,married,37,0
180000,female,graduate school,single,28,0
100000,female,graduate school,single,26,0
20000,male,graduate school,single,28,0
140000,male,university,single,34,0
80000,male,university,single,25,0
170000,female,graduate school,married,41,0
30000,male,university,single,30,0
260000,female,graduate school,single,39,0
460000,female,graduate school,single,39,0
50000,female,graduate school,single,26,0
150000,female,high school,married,51,0
280000,male,graduate school,single,37,0
50000,female,high school,married,28,0
50000,male,graduate school,single,32,0
360000,female,university,other,37,0
50000,female,high school,married,46,0
90000,male,university,married,35,0
230000,male,university,married,35,0
270000,male,university,single,26,0
80000,female,university,single,29,0
50000,male,high school,married,49,0
260000,male,high school,married,48,0
150000,female,other,single,26,0
150000,female,graduate school,single,25,0
110000,male,high school,married,38,0
20000,male,high school,single,39,0
10000,male,graduate school,single,33,0
20000,male,university,single,24,0
60000,female,university,married,26,0
70000,female,graduate school,single,25,0
60000,female,university,married,38,0
80000,female,university,married,23,0
180000,female,university,married,25,0
420000,male,university,single,28,0
20000,male,university,married,59,0
320000,male,high school,single,52,0
100000,female,graduate school,single,29,0
140000,female,university,single,24,0
130000,female,high school,married,25,0
20000,female,high school,married,44,0
120000,female,other,married,57,0
50000,female,university,married,26,0
130000,female,other,single,27,0
220000,female,university,married,48,0
200000,female,university,married,29,0
50000,female,high school,married,59,0
120000,female,graduate school,married,41,0
60000,female,university,married,38,0
50000,female,university,married,26,0
290000,female,university,married,34,0
50000,male,university,single,45,0
130000,female,graduate school,single,27,0
50000,male,other,married,30,0
10000,female,university,single,40,0
10000,male,high school,single,22,0
20000,male,university,single,46,0
170000,male,university,married,42,0
130000,male,university,single,27,0
420000,male,graduate school,single,29,0
80000,female,university,married,34,0
20000,female,university,married,45,0
160000,male,graduate school,married,40,0
50000,female,university,single,23,0
50000,male,university,single,35,0
70000,female,university,married,43,0
160000,female,university,single,24,0
20000,female,graduate school,single,23,0
230000,female,graduate school,single,27,0
60000,female,university,single,21,0
280000,male,graduate school,married,35,0
50000,female,university,single,28,0
30000,male,graduate school,single,23,0
380000,male,graduate school,single,36,0
20000,female,university,single,26,0
20000,female,university,single,24,0
470000,male,university,married,52,0
220000,female,university,single,29,0
80000,male,high school,single,32,0
100000,female,university,single,39,0
10000,female,university,single,21,0
210000,female,graduate school,single,27,0
200000,female,graduate school,married,36,0
500000,female,graduate school,single,31,0
10000,female,university,married,44,0
160000,female,graduate school,single,24,0
50000,female,high school,married,42,0
140000,female,graduate school,single,28,0
80000,female,university,single,45,0
500000,female,university,married,39,0
320000,female,university,married,35,0
120000,female,university,single,40,0
30000,female,high school,married,41,0
50000,male,university,single,24,0
60000,male,university,single,41,0
140000,female,university,married,28,0
50000,female,university,single,28,0
300000,female,university,married,27,0
60000,male,graduate school,single,39,0
10000,female,university,single,25,0
100000,male,graduate school,married,33,0
200000,male,high school,married,41,0
380000,female,university,married,48,0
100000,male,university,single,27,0
50000,female,high school,married,27,0
130000,female,university,married,28,0
120000,male,university,single,34,0
150000,female,university,married,42,0
420000,male,university,married,37,0
260000,female,university,single,26,0
30000,male,university,single,36,0
140000,female,university,married,36,0
340000,female,university,single,32,0
350000,female,university,single,37,0
50000,male,university,married,26,0
400000,female,university,single,38,0
170000,male,high school,married,45,0
20000,male,university,single,22,0
150000,female,university,married,26,0
260000,female,graduate school,single,30,0
310000,female,university,married,32,0
50000,male,high school,single,22,0
130000,male,university,single,28,0
80000,female,university,married,30,0
560000,female,graduate school,single,32,0
170000,female,graduate school,single,26,0
10000,male,university,single,26,0
130000,female,graduate school,single,25,0
200000,female,university,married,37,0
130000,male,university,single,37,0
320000,female,high school,married,30,0
420000,female,university,single,29,0
80000,male,university,single,35,0
60000,female,high school,married,43,0
60000,male,university,single,24,0
210000,male,university,single,26,0
360000,female,graduate school,married,46,0
20000,male,university,single,48,0
20000,male,graduate school,single,22,0
80000,male,university,other,58,0
290000,female,high school,married,49,0
350000,female,university,single,27,0
110000,male,graduate school,single,33,0
80000,female,high school,other,31,0
200000,female,university,single,33,0
150000,female,graduate school,single,40,0
50000,female,graduate school,single,26,0
80000,male,university,married,33,0
50000,male,university,married,34,0
50000,male,university,married,37,0
230000,male,university,married,51,0
230000,male,university,single,30,0
80000,female,high school,married,37,0
60000,female,university,other,35,0
200000,male,university,married,37,0
150000,male,graduate school,single,39,0
220000,female,university,married,41,0
200000,female,university,single,30,0
520000,female,graduate school,single,35,0
30000,female,university,married,22,0
20000,male,university,single,28,0
50000,male,university,single,40,0
300000,female,high school,single,29,0
490000,female,university,single,27,0
50000,male,graduate school,married,29,0
100000,male,university,single,27,0
30000,female,graduate school,married,30,0
50000,male,graduate school,single,28,0
220000,female,graduate school,single,30,0
200000,male,university,married,45,0
120000,female,university,single,24,0
50000,female,graduate school,single,23,0
60000,male,graduate school,single,28,0
440000,female,high school,married,40,0
360000,female,university,single,30,0
50000,female,university,married,36,0
50000,male,university,single,24,0
70000,female,university,married,41,0
290000,female,university,single,25,0
310000,female,university,single,33,0
550000,female,university,married,34,0
140000,male,university,married,37,0
50000,male,graduate school,single,33,0
60000,male,university,married,39,0
140000,male,graduate school,single,28,0
70000,male,university,married,42,0
100000,female,university,married,24,0
160000,female,university,single,27,0
100000,female,high school,married,40,0
90000,male,graduate school,married,35,0
80000,male,university,single,39,0
20000,female,university,single,31,0
140000,male,graduate school,married,41,0
90000,male,university,married,39,0
150000,female,university,single,23,0
250000,male,high school,married,28,0
50000,male,university,married,28,0
40000,female,graduate school,single,27,0
80000,female,university,married,35,0
100000,male,graduate school,married,35,0
90000,female,high school,married,53,0
